Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
M-HEALTH TOOLS TO ENHANCE TREATMENT OF TEEN SUBSTANCE ABUSE AND MENTAL ILLNESS,NIDA,9322641,7K23DA038257-03,7,K23,DA,38257,3,,,10102038,"ADAMS, ZACHARY WILLIAM",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,134102,
CHLORTHALIDONE IN CHRONIC KIDNEY DISEASE (CLICK) STUDY,NHLBI,9030194,1R01HL126903-01A1,1,R01,HL,126903,1,A1,,2251136,"AGARWAL, RAJIV ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,690843,
DEVELOPMENTAL LINKAGE OF METABOLIC HOMEOSTASIS AND SOCIALITY,NICHD,9053504,5R01HD082203-02,5,R01,HD,82203,2,,,1957692,"ALBERTS, JEFFREY R",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,281746,
MOTHER-OFFSPRING MICROBIOME AS PERINATAL SUBSTRATE FOR NEUROBEHAVIORAL DEVELOPMENT,NICHD,9034996,1R21HD083769-01A1,1,R21,HD,83769,1,A1,,1957692,"ALBERTS, JEFFREY R",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,234000,
ENHANCING BONE STRENGTH USING COMBINATION DRUG THERAPY,NIAMS,9012010,4R01AR062002-05,4,R01,AR,62002,5,,,7722842,"ALLEN, MATTHEW R",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,322702,
COGNITIVE-LINGUISTIC PROCESSES IN DEVELOPMENTAL STUTTERING,NIDCD,9113549,4R01DC012517-05,4,R01,DC,12517,5,,,7800282,"ANDERSON, JULIE D",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,331374,
THE INDIANA CUTANEOUS BIOLOGICAL RESEARCH TRAINING PROGRAM,NIAMS,9039539,4T32AR062495-04,4,T32,AR,62495,4,,,1888661,"ANDROPHY, ELLIOT J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,147408,
CONTROL OF PAPILLOMAVIRUS EXPRESSION AND TRANSFORMATION,NCI,9066580,5R01CA058376-21,5,R01,CA,58376,21,,,1888661,"ANDROPHY, ELLIOT J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,370500,
THE COPA VESICLE PROTEIN AND PATHOGENESIS OF SPINAL MUSCULAR ATROPHY,NINDS,9274418,3R01NS082284-04S1,3,R01,NS,82284,4,S1,,1888661,"ANDROPHY, ELLIOT J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,55689,
THE COPA VESICLE PROTEIN AND PATHOGENESIS OF SPINAL MUSCULAR ATROPHY,NINDS,9099979,4R01NS082284-04,4,R01,NS,82284,4,,,1888661,"ANDROPHY, ELLIOT J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,341250,
OPTIMIZATION OF COMPOUNDS THAT STABILIZE THE SMN PROTEIN FOR TREATMENT OF SMA,NINDS,9026365,1R21NS095139-01,1,R21,NS,95139,1,,,1888661,"ANDROPHY, ELLIOT J ","HODGETTS, KEVIN ;LORSON, CHRISTIAN L.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,431954,
IMAGING AND GENETIC BIOMARKERS FOR ALZHEIMER'S DISEASE,NIA,9229736,7R01AG040770-05,7,R01,AG,40770,5,,,8184486,"APOSTOLOVA, LIANA G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,319800,
IMAGING EPIGENETICS OF ALZHEIMER'S DISEASE,NIA,9230612,7K02AG048240-03,7,K02,AG,48240,3,,,8184486,"APOSTOLOVA, LIANA G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,144720,
DISSECTING THE ROLE OF TOXOPLASMA CDPK3 IN PARASITE PROPAGATION AND VIRULENCE,NIAID,9003023,5R21AI108393-02,5,R21,AI,108393,2,,,1896436,"ARRIZABALAGA, GUSTAVO A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,234000,
CALCIUM SIGNALING IN THE PARASITOPHOROUS VACUOLE OF TOXOPLASMA GONDII,NIAID,9305441,3R21AI119516-02S1,3,R21,AI,119516,2,S1,,1896436,"ARRIZABALAGA, GUSTAVO A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,34513,
CALCIUM SIGNALING IN THE PARASITOPHOROUS VACUOLE OF TOXOPLASMA GONDII,NIAID,9058486,5R21AI119516-02,5,R21,AI,119516,2,,,1896436,"ARRIZABALAGA, GUSTAVO A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,233777,
DISSECTING THE CALCIUM DEPENDENT PHOSPHORYLATION NETWORK OF TOXOPLASMA GONDII,NIAID,9085774,1R01AI123457-01,1,R01,AI,123457,1,,,1896436,"ARRIZABALAGA, GUSTAVO A ","TREECK, MORITZ ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,511761,
ELUCIDATING NEW AND OLD ROLES FOR AUTOPHAGY-LIKE PROTEINS IN TOXOPLASMA GONDII,NIAID,9162007,1R21AI125822-01,1,R21,AI,125822,1,,,1896436,"ARRIZABALAGA, GUSTAVO A ","SULLIVAN, WILLIAM J",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,232600,
DORSAL STRIATAL MU OPIOID RECEPTOR FUNCTION AND ALCOHOL USE,NIAAA,9222263,4R00AA023507-02,4,R00,AA,23507,2,,,11973489,"ATWOOD, BRADY ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,248933,
MECHANISMS OF INTERVENTIONS TO AMELIORATE SARCOPENIA IN CHRONIC KIDNEY DISEASE,NIDDK,9164072,1K08DK110429-01,1,K08,DK,110429,1,,,9172566,"AVIN, KEITH G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,132127,
(PQC3) ETHNICITY-DETERMINED IMMUNE RESPONSE AND DCIS OUTCOME,NCI,9123566,5R01CA194600-02,5,R01,CA,194600,2,,,8246135,"BADVE, SUNIL S. ","GERDES, MICHAEL ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,684967,
DEVELOPMENT OF ANTI-VIRULENCE DRUGS BY TARGETING THE SAERS TWO COMPONENT SYSTEM OF STAPHYLOCOCCUS AUREUS,NIAID,9021269,1R21AI121664-01,1,R21,AI,121664,1,,,8870359,"BAE, TAEOK ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,207768,
BIO/CHEMICAL MAPPING OF PANCREATIC CELL ACTIVITY,NIBIB,9091189,1R21EB022297-01,1,R21,EB,22297,1,,,9259333,"BAKER, LANE A.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,229030,
REGULATING PATHWAYS AND FIDELITY OF DNA REPLICATION AND REPAIR BY ACETYLATION,NIGMS,9119114,5R00GM098328-05,5,R00,GM,98328,5,,,10203159,"BALAKRISHNAN, LATA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,248817,
FHF2A AND FHF2B IN SENSORY NEURONS: POTENTIAL REGULATORS OF RESURGENT CURRENTS,NINDS,9001164,5F31NS090837-02,5,F31,NS,90837,2,,,11363334,"BARBOSA NUNEZ, CINDY ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,6841,
INFORMATICS CORE; COLLABORATIVE INITIATIVE ON FETAL ALCOHOL SPECTRUM DISORDERS,NIAAA,9061501,4U24AA014818-13,4,U24,AA,14818,13,,,9876970,"BARNETT, WILLIAM ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,163683,
LONG-TERM EFFECTS OF ACUTE RENAL FAILURE,NIDDK,9012803,4R01DK063114-13,4,R01,DK,63114,13,,,7749711,"BASILE, DAVID P.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,339300,
DEVELOPMENTAL IMPLICATIONS OF EARLY CHILDHOOD SLEEP,NICHD,9062471,4R01HD073202-05,4,R01,HD,73202,5,,,1880903,"BATES, JOHN E ","MOLFESE, VICTORIA JANE",INDIANA UNIVERSITY BLOOMINGTON, ,2016,561191,
GENERATION OF CELL-SPECIFIC TOOLS TO DETERMINE THE ROLE OF SPINOPHILIN IN REGULATING PATHOLOGICAL RESPONSES TO PSYCHOSTIMULANT DRUGS OF ABUSE,NIDA,9132453,1R21DA041876-01,1,R21,DA,41876,1,,,9343737,"BAUCUM, ANTHONY J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,184746,
SPINOPHILIN SIGNALING IN THE STRIATUM,NINDS,9041042,4K01NS073700-06,4,K01,NS,73700,6,,,9343737,"BAUCUM, ANTHONY J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,138669,
PROKARYOTIC GENE REGULATION BY LIGHT AND OXYGEN,NIGMS,9352983,3R37GM040941-27S1,3,R37,GM,40941,27,S1,,1880322,"BAUER, CARL EUGENE",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,184781,
PRECLINICAL MEDICATIONS SCREENING FOR GENETIC MODELS OF ALCOHOLISM,NICHD,9324026,275201400005C-4-0-1,,N01,HD,,,,,12453254,"BELL, PH.D., RICHARD L. ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,361975,
RAT ANIMAL MODELS AND GENE TESTING CORE,NIAAA,9329760,3U24AA013522-15S1,3,U24,AA,13522,15,S1,,6600609,"BELL, RICHARD LOWELL",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,144919,
RODENTS WITH GENETIC DIFFERENCES IN ALCOHOL PREFERENCE,NIAAA,9069656,5U24AA015512-12,5,U24,AA,15512,12,,,6600609,"BELL, RICHARD LOWELL",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,543936,
COMPUTERIZED DECISION SUPPORT FOR PEDIATRIC GASTROENTEROLOGY,NIDDK,9042349,5K23DK098235-03,5,K23,DK,98235,3,,,9807953,"BENNETT, WILLIAM ESTUS",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,171043,
EXOSOME KINETICS IN VIVO: CELL TYPE AND DRUG SPECIFIC EFFECTS,NIGMS,9243039,1K08GM119006-01A1,1,K08,GM,119006,1,A1,,10927904,"BENSON, ERIC ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,168368,
REGULATION OF PHI AND FLUID FLUX IN CORNEAL ENDOTHELIUM,NEI,9021651,4R01EY008834-25,4,R01,EY,8834,25,,,1933214,"BONANNO, JOSEPH AURELIO",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,390000,
GASTRIC CONTROL OF THE INTESTINAL MICROBIOME AND OBESITY,NIDDK,9164925,1R21DK110263-01,1,R21,DK,110263,1,,,7926651,"BOONE, DAVID L.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,195000,
A NOVEL MULTILAYERED MEMBRANE FOR PERIODONTAL REGENERATION,NIDCR,9091291,4K08DE023552-04,4,K08,DE,23552,4,,,10669764,"BOTTINO, MARCO C",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,143105,
OPTIMIZING SYSTEMIC STEM/PROGENITOR CELL THERAPY FOR AMD,NEI,9132794,4R01EY023629-04,4,R01,EY,23629,4,,,8737938,"BOULTON, MICHAEL EDWIN ","GRANT, MARIA BARTOLOMEO",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,489698,
INDIANA UNIVERSITY DEMENTIA SCREENING TRIAL: THE IU CHOICE STUDY,NIA,9110101,4R01AG040220-05,4,R01,AG,40220,5,,,7362777,"BOUSTANI, MALAZ ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,615180,
INDIANA UNIVERSITY DEMENTIA SCREENING TRIAL: THE IU CHOICE STUDY,NIA,9198293,3R01AG040220-04S1,3,R01,AG,40220,4,S1,,7362777,"BOUSTANI, MALAZ ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,39372,
ORPHANED AND SEPARATED CHILDREN'S ASSESSMENTS RELATED TO THEIR HEALTH AND WELL-BEING,NICHD,9105760,5R01HD060478-07,5,R01,HD,60478,7,,,8970125,"BRAITSTEIN, PAULA KARINA ALICE ","SIDLE, JOHN E",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,572435,
THE EFFICACY AND SAFETY OF A SELECTIVE ESTROGEN RECEPTOR BETA AGONIST (LY500307),NCATS,9329831,3UH3TR000955-03S1,3,UH3,TR,955,3,S1,,9814136,"BREIER, ALAN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,772935,
STEREOSELECTIVE REACTIONS FOR THE CHEMICAL SYNTHESIS OF BIOACTIVE COMPOUNDS,NIGMS,9111944,5R01GM110131-02,5,R01,GM,110131,2,,,11338000,"BROWN, MICHAEL KEVIN",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,289178,
DEVELOPMENT OF NEW CATALYTIC REACTIONS FOR CHEMICAL SYNTHESIS,NIGMS,9054138,5R01GM114443-02,5,R01,GM,114443,2,,,11338000,"BROWN, MICHAEL KEVIN",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,279410,
REGULATION OF HEMATOPOIETIC CELL PRODUCTION,NIDDK,9072026,2T32DK007519-31,2,T32,DK,7519,31,,,3088372,"BROXMEYER, HAL E. ","PELUS, LOUIS M",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,93114,
HEMATOPOIETIC STEM AND PROGENITOR CELL REGULATION FOR ENHANCED CLINICAL EFFICACY,NIDDK,9329836,3U54DK106846-02S1,3,U54,DK,106846,2,S1,,3088372,"BROXMEYER, HAL E. ","SROUR, EDWARD F",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,67054,
HEMATOPOIETIC STEM AND PROGENITOR CELL REGULATION FOR ENHANCED CLINICAL EFFICACY,NIDDK,9116849,5U54DK106846-02,5,U54,DK,106846,2,,,3088372,"BROXMEYER, HAL E. ","SROUR, EDWARD F",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,977986,
DEK REGULATION OF HEMATOPOIETIC STEM CELL RENEWAL; FATE; AND HEMATOPOIESIS,NIDDK,9081188,1R01DK109188-01,1,R01,DK,109188,1,,,3088372,"BROXMEYER, HAL E. ","MARKOVITZ, DAVID MICHAEL",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,512978,
BASIC SCIENCES STUDIES ON GENE THERAPY OF BLOOD DISEASES,NHLBI,8986808,5T32HL007910-17,5,T32,HL,7910,17,,,3088372,"BROXMEYER, HAL E. ","CLAPP, DAVID W",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,523280,
MECHANISMS OF SYNERGISTIC REGULATION OF STEM/PROGENITORS,NHLBI,9054888,5R01HL056416-19,5,R01,HL,56416,19,,,3088372,"BROXMEYER, HAL E.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
ENHANCING ENGRAFTMENT OF CORD BLOOD BY CD26 INHIBITION,NHLBI,9023585,4R01HL112669-05,4,R01,HL,112669,5,,,3088372,"BROXMEYER, HAL E. ","FARAG, SHERIF S",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,720299,
CONTROL OF BACTERIAL ZONAL GROWTH AND DIFFERENTIATION,NIGMS,9176487,2R01GM051986-22A1,2,R01,GM,51986,22,A1,,1964524,"BRUN, YVES V",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,416681,
IMMUNE EVASION BY MULTIPLE MYELOMA: ROLE OF THE RHO KINASE SIGNALING PATHWAY,NCI,9027808,4R01CA161178-05,4,R01,CA,161178,5,,,1954373,"BRUTKIEWICZ, RANDY R",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,323700,
ADAPTIVE OPTICS IMAGING OF HUMAN RETINAL VASCULAR STRUCTURE AND FUNCTION,NEI,8975208,5R01EY024315-02,5,R01,EY,24315,2,,,2420779,"BURNS, STEPHEN A",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,390000,
COMPREHENSIVE TRAINING PROGRAM IN MUSCULOSKELETAL RESEARCH,NIAMS,9094519,5T32AR065971-02,5,T32,AR,65971,2,,,1867205,"BURR, DAVID B",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,317760,
ORS SUN VALLEY WORKSHOP: MUSCULOSKELETAL BIOLOGY,NIAMS,9188641,1R13AR070556-01,1,R13,AR,70556,1,,,1867205,"BURR, DAVID B",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,15000,
IPREP: IUPUI GRADUATE PREPARATION FOR THE BIOMEDICAL AND BEHAVIORAL SCIENCES,NIGMS,8991069,5R25GM109432-03,5,R25,GM,109432,3,,,1867205,"BURR, DAVID B",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,329797,
ANGIOGENESIS AND ALZHEIMER?S DISEASE,NIA,9017364,1R21AG051932-01,1,R21,AG,51932,1,,,6490002,"CALLAHAN, CHRISTOPHER M",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,244899,
POLYPLOID CELL CYCLE REGULATION AND GENOME INSTABILITY,NIGMS,9125871,5R01GM113107-02,5,R01,GM,113107,2,,,1925518,"CALVI, BRIAN R ","WALCZAK, CLAIRE E",INDIANA UNIVERSITY BLOOMINGTON, ,2016,308100,
SHORT-TERM RESEARCH TRAINING FOR OPTOMETRY STUDENTS,NEI,9055695,4T35EY013937-15,4,T35,EY,13937,15,,,7050653,"CANDY, T ROWAN",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,53040,
ACCOMMODATION AND DEFOCUS IN THE INFANT VISUAL SYSTEM,NEI,9058545,4R01EY014460-13,4,R01,EY,14460,13,,,7050653,"CANDY, T ROWAN",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,351152,
UTILIZING ESTABLISHED YOUTUBE INFRASTRUCTURE FOR TRAINING MODULE DEVELOPMENT,NIGMS,9144427,5R25GM116146-02,5,R25,GM,116146,2,,,7835231,"CARROLL, AARON E.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,77150,
DEVELOPMENTAL CONSEQUENCES OF BIRTH INTERVENTIONS,NICHD,9045661,5P01HD075750-04,5,P01,HD,75750,4,,,1874015,"CARTER, CAROL SUE",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,785924,
UNDERSTANDING BARRIERS TO SINGLE-DOSE INTRAVESICAL CHEMOTHERAPY IN NON-MUSCLE INVASIVE BLADDER CANCER,NCI,9224755,1K23CA212272-01,1,K23,CA,212272,1,,,12089824,"CARY, KELLY CLINTON",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,145163,
INVESTIGATING CONNECTIVITY-BASED MECHANISMS FOR AGE-RELATED INCREASED PREJUDICE,NIA,9119345,1F32AG051304-01A1,1,F32,AG,51304,1,A1,,10376440,"CASSIDY, BRITTANY SHANE",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,56118,
COLLABORATIVE CLINICAL RESEARCH ON NON ALCOHOLIC STRATOHEPATITIS,NIDDK,9103093,5U01DK061737-15,5,U01,DK,61737,15,,,3122671,"CHALASANI, NAGA P",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,268137,
COLLABORATIVE CLINICAL RESEARCH ON HEPATOTOXICITY,NIDDK,9132247,4U01DK065211-14,4,U01,DK,65211,14,,,3122671,"CHALASANI, NAGA P",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,377462,
INTERDISCIPLINARY TRAINING IN BEHAVIORAL ONCOLOGY,NCI,9149817,2T32CA117865-11,2,T32,CA,117865,11,,,1864817,"CHAMPION, VICTORIA LEE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,24392,
RESEARCH AND TRAINING FOR BEHAVIORAL ONCOLOGY INTERVENTIONS,NCI,9067236,5K05CA175048-03,5,K05,CA,175048,3,,,1864817,"CHAMPION, VICTORIA LEE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,96731,
INTERNATIONAL SYMPOSIUM ON JUVENILE MYELOMONOCYTIC LEUKEMIA (JMML),NCI,9198836,2R13CA132568-10,2,R13,CA,132568,10,,,1890620,"CHAN, REBECCA J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,10000,
HSC-INDEPENDENT MECHANISMS UNDERLYING JMML,NCI,9178088,1R21CA202296-01A1,1,R21,CA,202296,1,A1,,1890620,"CHAN, REBECCA J. ","YODER, MERVIN C.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,169650,
SHORT-TERM TRAINING PROGRAM IN BIOMEDICAL SCIENCES,NHLBI,9005875,4T35HL110854-05,4,T35,HL,110854,5,,,1890620,"CHAN, REBECCA J. ","BLUM, JANICE S",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,174489,
