Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
TYPE 1 DIABETES MANAGEMENT DURING TRANSITION TO LIVING INDEPENDENTLY,NIDDK,9130161,5K01DK101621-03,5,K01,DK,101621,3,,,11394086,"STUPIANSKY, NATHAN W.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,7673,
THE ROLE OF LANGUAGE EXPERIENCES ON VOCABULARY DEVELOPMENT: A MULTIDIMENSIONAL; DEVELOPMENTAL; AND INDIVIDUAL DIFFERENCES ANALYSIS,NICHD,9041648,5K99HD082358-02,5,K99,HD,82358,2,,,11202501,"SUANDA, SUMARGA HAVELIN",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,98444,
THE GCN5B ACETYLATION COMPLEX IN THE AIDS PATHOGEN TOXOPLASMA,NIAID,8966011,5R01AI116496-02,5,R01,AI,116496,2,,,1885965,"SULLIVAN, WILLIAM J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,385800,
TRANSLATIONAL CONTROL DURING STAGE CONVERSION OF TOXOPLASMA; AN OPPORTUNISTIC INFECTION OF HIV/AIDS,NIAID,9131935,1R01AI124723-01,1,R01,AI,124723,1,,,1885965,"SULLIVAN, WILLIAM J ","WEK, RONALD C",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,386080,
IRF4 AND IMMUNITY TO INFLUENZA INFECTION,NIAID,9011502,5R01AI112844-02,5,R01,AI,112844,2,,,10516319,"SUN, JIE ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,113996,
REGULATION OF PULMONARY ANTI-VIRAL IMMUNITY IN NORMAL AND OBESE HOSTS,NHLBI,9047309,5R01HL126647-02,5,R01,HL,126647,2,,,10516319,"SUN, JIE ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,12494,
GLAUCOMA PATHOGENESIS OF OCULOCEREBRORENAL SYNDROME OF LOWE,NEI,9068140,4K08EY022058-05,4,K08,EY,22058,5,,,10749746,"SUN, YANG ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,28997,
THE ROLE OF PRIMARY CILIA IN GLAUCOMA PATHOGENESIS,NEI,9102843,1R01EY025295-01A1,1,R01,EY,25295,1,A1,,10749746,"SUN, YANG ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,312000,
3D RNFL STRUCTURE AND HIGH-RESOLUTION PERIMETRY FOR ASSESSING GLAUCOMATOUS DAMAGE,NEI,9114110,5R01EY024542-03,5,R01,EY,24542,3,,,1863503,"SWANSON, WILLIAM H.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,351000,
MECHANISM OF TRANSCRIPTION REGULATION BY THE MEDIATOR,NIGMS,9130849,5R01GM111695-02,5,R01,GM,111695,2,,,8798715,"TAKAGI, YUICHIRO ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,306310,
ENCRYPTION METHODS AND SOFTWARE FOR PRIVACY-PRESERVING ANALYSIS OF BIOMEDICAL DATA,NIBIB,9161310,1U01EB023685-01,1,U01,EB,23685,1,,,8366781,"TANG, HAIXU T. ","WANG, XIAOFENG ",INDIANA UNIVERSITY BLOOMINGTON, ,2016,470420,
HSC-INDEPENDENT PROGENITORS CONTRIBUTE TO JUVENILE MYELOMONOCYTIC LEUKEMIA,NHLBI,9070357,5F30HL128011-02,5,F30,HL,128011,2,,,11036445,"TARNAWSKY, STEFAN P",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,27801,
EOSINOPHIL ACTIVATION IN PULMONARY ASPERGILLOSIS,NIAID,9018764,1R03AI122127-01,1,R03,AI,122127,1,,,11253114,"TEMPLETON, STEVEN P",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,72020,
A DROSOPHILA MODEL FOR THE REGULATION OF AEROBIC GLYCOLYSIS,NIGMS,8990013,5R00GM101341-05,5,R00,GM,101341,5,,,9562096,"TENNESSEN, JASON MICHAEL",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,246423,
A DROSOPHILA MODEL FOR THE REGULATION OF AEROBIC GLYCOLYSIS,NIGMS,9141767,1R35GM119557-01,1,R35,GM,119557,1,,,9562096,"TENNESSEN, JASON MICHAEL",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,271992,
MODULATION OF AIRWAY REACTIVITY WITH CHRONIC MECHANICAL STRAIN,NHLBI,9043923,5R01HL048522-20,5,R01,HL,48522,20,,,1878779,"TEPPER, ROBERT S. ","GUNST, SUSAN J.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,431382,
ANTI-ANGIOGENIC PREECLAMPTIC MILIEU IMPAIRS INFANT LUNG AND VASCULAR DEVELOPMENT,NHLBI,9144430,5R01HL122215-02,5,R01,HL,122215,2,,,1878779,"TEPPER, ROBERT S. ","HANELINE, LAURA S",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,648090,
TRANSITION METAL HOMEOSTASIS IN A MODEL OF FRAGILE X SYNDROME,NIMH,9111449,1R03MH107766-01A1,1,R03,MH,107766,1,A1,,10537424,"TESSIER, CHARLES R",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,78000,
MECHANICAL PARTITIONING OF MTORC2 TO DIRECT MESENCHYMAL STEM CELL FATE,NIAMS,9099270,1R15AR069943-01,1,R15,AR,69943,1,,,11304773,"THOMPSON, WILLIAM ROY",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,466388,
IMPROVING SURROGATE/CLINICIAN COMMUNICATION: VALIDATION OF THE FAMILY INPATIENT C,NIA,9101932,4R01AG044408-04,4,R01,AG,44408,4,,,8866655,"TORKE, ALEXIA MARY",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,363435,
COMMUNICATION IN THE HOSPITAL: IMPACT ON THE PATIENT AND SURROGATE,NIA,9162147,1K24AG053794-01,1,K24,AG,53794,1,,,8866655,"TORKE, ALEXIA MARY",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,166950,
GENETIC SUSCEPTIBILITY AND BIOMARKERS OF PLATINUM-RELATED TOXICITIES,NCI,9137615,5R01CA157823-05,5,R01,CA,157823,5,,,9803265,"TRAVIS, LOIS B.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,1,
NEURAL REGULATION OF SOCIAL FAMILIARITY INDUCED ANXIOLYSIS,NIMH,9070780,5R01MH106568-02,5,R01,MH,106568,2,,,8045772,"TRUITT, WILLIAM ANTHONY",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,472263,
EXPLORING ATTITUDES; PERCEPTIONS; AND COPING FROM THE PERSPECTIVE OF FAMILIES AT RISK OF EXTREMELY PRETERM DELIVERY,NICHD,9166408,1R21HD089032-01,1,R21,HD,89032,1,,,10868681,"TUCKER EDMONDS, BROWNSYNE M",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,248013,
CARDIOVASCULAR EFFECTS OF GLP-1 IN OBESITY/METABOLIC SYNDROME,NHLBI,9002069,4R01HL117620-04,4,R01,HL,117620,4,,,2661011,"TUNE, JOHNATHAN D ","MATHER, KIEREN J",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,663167,
TARGETING NUCLEOTIDE EXCISION REPAIR IN COMBINATION CANCER THERAPY,NCI,9117467,4R01CA180710-04,4,R01,CA,180710,4,,,1886375,"TURCHI, JOHN J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,323700,
GENOMIC ANALYSIS OF IMMUNITY AND LUNG INFLAMMATION IN HIV INFECTION,NHLBI,9116661,4U01HL121831-04,4,U01,HL,121831,4,,,1873355,"TWIGG, HOMER L ","KNOX, KENNETH S;WEINSTOCK, GEORGE M",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,632227,
DELIVERING HOSPICE AND PALLIATIVE CARE SERVICES TO NURSING HOME PATIENTS,NIA,9088261,5K23AG048323-03,5,K23,AG,48323,3,,,10834833,"UNROE, KATHLEEN T",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,162309,
COGNITIVE AND AEROBIC RESILIENCE FOR THE BRAIN,NIA,9063460,5R01AG045157-03,5,R01,AG,45157,3,,,7357036,"UNVERZAGT, FREDERICK W.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,489069,
NOVEL INHIBITORS OF PEPTIDOGLYCAN BIOSYNTHESIS TARGETING GRAM-POSITIVE PATHOGENS,NIGMS,9120392,5R01GM111537-03,5,R01,GM,111537,3,,,1921538,"VANNIEUWENHZE, MICHAEL S",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,347101,
DYNAMICS OF BACTERIAL PEPTIDOGLYCAN SYNTHESIS,NIGMS,9275878,3R01GM113172-02S1,3,R01,GM,113172,2,S1,,1921538,"VANNIEUWENHZE, MICHAEL S ","BRUN, YVES V;WINKLER, MALCOLM E.",INDIANA UNIVERSITY BLOOMINGTON, ,2016,135193,
DYNAMICS OF BACTERIAL PEPTIDOGLYCAN SYNTHESIS,NIGMS,9005872,5R01GM113172-02,5,R01,GM,113172,2,,,1921538,"VANNIEUWENHZE, MICHAEL S ","BRUN, YVES V;WINKLER, MALCOLM E.",INDIANA UNIVERSITY BLOOMINGTON, ,2016,851892,
DNA DAMAGE AND REPAIR IN INFLAMMATION-INDUCED PERIPHERAL SENSITIZATION,NINDS,9001384,5R21NS091667-02,5,R21,NS,91667,2,,,1893178,"VASKO, MICHAEL R ","FEHRENBACHER, JILL C;KELLEY, MARK R.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,195000,
CONDITIONAL DELETION OF MAPT IN THE ADULT MOUSE BRAIN,NINDS,9084670,5R21NS093441-02,5,R21,NS,93441,2,,,2446136,"VIDAL, RUBEN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,228400,
HIV TREATMENT FAILURE AND DRUG RESISTANCE IN WESTERN KENYAN CHILDREN,NIAID,9147181,1R01AI120792-01A1,1,R01,AI,120792,1,A1,,9703537,"VREEMAN, RACHEL CHRISTINE ","KANTOR, RAMI ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,752300,
INDIANA UNIVERSITY - MOI UNIVERSITY ACADEMIC RESEARCH ETHICS PARTNERSHIP,FIC,8996218,4R25TW006070-09,4,R25,TW,6070,9,,,9703537,"VREEMAN, RACHEL CHRISTINE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,250000,
PHOTO-INITIATED CARTILAGE CROSSLINKING AS A PREVENTATIVE FOR POST-TRAUMATIC OSTEOARTHRITIS,NIAMS,9083085,1R01AR069657-01,1,R01,AR,69657,1,,,8681170,"WAGNER, DIANE ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,326420,
CONTROL OF MICROTUBULE DYNAMICS FOR SPINDLE ASSEMBLY AND CHROMOSOME SEGREGATION,NIGMS,9132266,5R01GM059618-16,5,R01,GM,59618,16,,,1871654,"WALCZAK, CLAIRE E",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,368480,
MECHANICAL PROTECTION OF PATHOLOGICAL COLLAGEN SYNTHESIS,NIAMS,9102935,5K25AR067221-02,5,K25,AR,67221,2,,,8265569,"WALLACE, JOSEPH MICHAEL",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,139671,
(PQ9) NOVEL THERAPEUTIC APPROACHES TO CHEMOTHERAPY-INDUCED MUSCLE.,NCI,9099342,1R21CA205437-01,1,R21,CA,205437,1,,,9291103,"WANING, DAVID L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,51247,
PILOT TESTING OF AN E-LEARNING STRATEGY FOR HOUSING FIRST IMPLEMENTATION,NIDA,9086316,5R34DA036001-03,5,R34,DA,36001,3,,,9647762,"WATSON, DENNIS PAUL",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,205949,
DEVELOPING SUPPORT; A COMMUNITY-DRIVEN; RECOVERY-ORIENTED SYSTEM OF CARE,NIDA,9245279,1R34DA041640-01A1,1,R34,DA,41640,1,A1,,9647762,"WATSON, DENNIS PAUL ","RAY, BRAD ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,159668,
REGULATION OF CARDIAC STRESS RESPONSES BY RHO KINASE,NHLBI,9065599,4R01HL107537-04,4,R01,HL,107537,4,,,8457451,"WEI, LEI ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
METABOLIC STRESS RESPONSES AND EIF2 KINASE GCN2,NIGMS,9026960,2R01GM049164-22A1,2,R01,GM,49164,22,A1,,1860225,"WEK, RONALD C",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,388795,
LNCRNA PROCESSING AND FUNCTION IN TRANSCRIPTIONAL GENE SILENCING,NIGMS,9117276,5F31GM116346-02,5,F31,GM,116346,2,,,11460803,"WENDTE, JERED ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,27756,
NOVEL MEDIATORS OF FGF23 BIOACTIVITY,NIAMS,9164551,1R21AR070329-01,1,R21,AR,70329,1,,,1902889,"WHITE, KENNETH E",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,173250,
CONTROL OF FGF23 BIOACTIVITY VIA CIRCULATING ALPHA-KLOTHO,NIDDK,9012815,4R01DK095784-04,4,R01,DK,95784,4,,,1902889,"WHITE, KENNETH E",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,339300,
RANDOMIZED ROBOTIC-ASSISTED VERSUS OPEN SURGERY: BENEFITS AND PATIENT CENTERED OUTCOMES TRIAL(RANDOMIZED ROBOT),NIDDK,9136838,5R21DK108134-02,5,R21,DK,108134,2,,,11823466,"WHITTAM, BENJAMIN M ","CARROLL, AARON E.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,195313,
THE HIV CARE CONTINUUM AMONG RECENT OFFENDERS,NIAID,8989968,5R01AI114435-02,5,R01,AI,114435,2,,,8514513,"WIEHE, SARAH ELIZABETH",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,531285,
MECHANISMS OF CHEMOKINE KILLING AND RESISTANCE OF STREPTOCOCCUS PNEUMONIAE,NIGMS,9043149,5R01GM114315-02,5,R01,GM,114315,2,,,1863288,"WINKLER, MALCOLM E.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,287390,
TRAINING IN STIS AND INFECTIONS OF GLOBAL HEALTH SIGNIFICANCE,NIAID,9149342,2T32AI007637-16,2,T32,AI,7637,16,,,8429548,"WOOLS-KALOUSTIAN, KARA KAY",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,183244,
EAST AFRICA INTERNATIONAL EPIDEMIOLOGIC DATABASES TO EVALUATE AIDS (IEDEA) REGIONAL CONSORTIUM,NIAID,9113314,2U01AI069911-11,2,U01,AI,69911,11,,,8429548,"WOOLS-KALOUSTIAN, KARA KAY ","YIANNOUTSOS, CONSTANTIN THEODORE",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,2784700,
MODELING AXONAL DENSITY AND INFLAMMATION-ASSOCIATED CELLULARITY IN ALZHEIMER?S DISEASE USING HYBRID DIFFUSION IMAGING,NIA,9193897,1R01AG053993-01,1,R01,AG,53993,1,,,10503823,"WU, YU-CHIEN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,319565,
REGULATION OF IMMUNE SURVEILLANCE BY HEDGEHOG SIGNALING IN TUMOR MICROENVIRONMENT,NCI,9065679,4R01CA155086-05,4,R01,CA,155086,5,,,6801924,"XIE, JINGWU ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,323700,
METHAMPHETAMINE TOXICITY AND CORTICOSTRIATAL GLUTAMATE,NIDA,9059042,5R01DA007606-26,5,R01,DA,7606,26,,,1888439,"YAMAMOTO, BRYAN K",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,303145,
METHAMPHETAMINE; STRESS AND BRAIN ENDOTHELIUM,NIDA,9044745,5R01DA035499-05,5,R01,DA,35499,5,,,1888439,"YAMAMOTO, BRYAN K",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,446968,
HOST ADAPTATION OF THE LYME DISEASE SPIROCHETE,NIAID,9057943,5R01AI083640-07,5,R01,AI,83640,7,,,8027609,"YANG, XIAOFENG FRANK",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,418977,
CYCLIC DI-GMP-DEPENDENT REGULATION OF METABOLISM AND VIRULENCE IN BORRELIA BURGDORFERI,NIAID,8994274,5R21AI117198-02,5,R21,AI,117198,2,,,8027609,"YANG, XIAOFENG FRANK ","GOMELSKY, MARK ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,187750,
GRAPH-CENTRIC APPROACHES TO METATRANSCRIPTOMIC AND METAPROTEOMIC DATA ANALYSIS,NIAID,9108866,5R01AI108888-03,5,R01,AI,108888,3,,,9343400,"YE, YUZHEN ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,339365,
THE DYNAMICS AND MECHANISMS OF AUTOPHAGY IN ETHANOL - INDUCED LIVER PATHOGENESIS,NIAAA,9112813,4R01AA021751-04,4,R01,AA,21751,4,,,6090273,"YIN, XIAO-MING  ","TSUKAMOTO, HIDEKAZU ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,418709,
MECHANICAL LOADING AND BONE,NIAMS,9099729,5R01AR052144-16,5,R01,AR,52144,16,,,6523795,"YOKOTA, HIROKI ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,343200,
EMBRYONIC ORIGIN AND SELF-RENEWAL OF B-1A CELLS,NIAID,9174956,1R01AI121197-01A1,1,R01,AI,121197,1,A1,,9348397,"YOSHIMOTO, MOMOKO ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,48560,
SENSORIMOTOR DYNAMICS OF PARENT-CHILD INTERACTIONS BUILD WORD LEARNING SKILLS,NICHD,9064802,4R01HD074601-04,4,R01,HD,74601,4,,,8227094,"YU, CHEN ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,320463,
SPECIFIC KILLING OF LATENTLY HIV-1-INFECTED CELLS AFTER PROVIRUS REACTIVATION,NIAID,9088305,5R33AI104268-04,5,R33,AI,104268,4,,,8510615,"YU, QIGUI Q",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,386436,
TARGETING LATENTLY INFECTED TFH CELLS TO ACHIEVING A FUNCTIONAL CURE OF HIV-1,NIAID,9014496,5R01AI117835-02,5,R01,AI,117835,2,,,8510615,"YU, QIGUI Q",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,386194,
EARLY DETECTION OF TAXANE-INDUCED NEUROPATHY IN WOMEN WITH BREAST CANCER,NINR,9149024,5F31NR015212-02,5,F31,NR,15212,2,,,11390193,"ZANVILLE, NOAH ROBERT",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,30324,
PHOTORECEPTOR TERMINAL DIFFERENTIATION: PHOTORECEPTOR SYNAPTOGENESIS,NEI,9175841,1R01EY026077-01A1,1,R01,EY,26077,1,A1,,9228997,"ZELHOF, ANDREW ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,387556,
DROSOPHILA GENOMICS RESOURCE CENTER,OD,9020827,4P40OD010949-13,4,P40,OD,10949,13,,,9228997,"ZELHOF, ANDREW ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,539457,
IDENTIFYING INSULIN RESISTANCE BIOMARKERS AND METABOLOMIC SIGNATURE AS PREDICTORS OF PRECURSORS TO PANCREATIC CANCER,NCI,9179001,1R21CA209366-01,1,R21,CA,209366,1,,,8577608,"ZHANG, JIANJUN NONE ","SCHMIDT, CHRISTIAN MAXIMILLIAN",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,203906,
STRUCTURE/FUNCTION OF PROTEIN TYROSINE PHOSPHATASES,NCI,8966675,4R01CA069202-20,4,R01,CA,69202,20,,,1894046,"ZHANG, ZHONG-YIN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,25327,
FAM65B FUNCTION IN HEARING AND DEAFNESS,NIDCD,9389805,7R21DC015294-02,7,R21,DC,15294,2,,,10923433,"ZHAO, BO ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,29422,
TSLP IN TH2 IMMUNITY AND ALLERGIC AIRWAY INFLAMMATION,NIAID,8991464,5R01AI085046-07,5,R01,AI,85046,7,,,7545337,"ZHOU, BAOHUA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
FOXP3 REGULATES RNA ALTERNATIVE SPLICING IN TREGS,NIAID,9098576,5R21AI110773-02,5,R21,AI,110773,2,,,7545337,"ZHOU, BAOHUA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,234000,
TRANSLATIONAL EPIGENETIC MARKERS FOR EARLY DIAGNOSIS OF FASD,NIAAA,9111382,1R21AA024216-01A1,1,R21,AA,24216,1,A1,,1867353,"ZHOU, FENG C. ","REITER, JILL L",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,226226,
PQB3: MECHANISMS & TARGETING OF SONIC HEDGEHOG SIGNALING IN MUSCLE WASTING OF CANCER CACHEXIA,NCI,9052746,5R01CA194593-02,5,R01,CA,194593,2,,,1881491,"ZIMMERS, TERESA A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,354111,
MULTIMODE OBSERVATION OF VIRUS CAPSID ASSEMBLY,NIAID,9116986,1R01AI118933-01A1,1,R01,AI,118933,1,A1,,1923426,"ZLOTNICK, ADAM ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,452808,
