"formal_name","disc_name"
"Journal Of New Seeds","Biology"
"Ecologia","Biology"
"NATURE COMMUNICATIONS","Biology"
"Proceedings Of The National Academy Of Sciences Of The United States Of America","Multidisciplinary"
"Research on Economic Inequality","Social Sciences"
"Critique Of Anthropology","Social Sciences"
"Journal Of The Learning Sciences","Social Sciences"
"Foodborne Pathogens And Disease","Biotechnology"
"Molecular Plant Pathology","Biotechnology"
"Enzyme And Microbial Technology","Biotechnology"
"Frontiers In Bioscience","Medical Specialties"
"Embo Reports","Medical Specialties"
"Progress In Cell Cycle Research","Medical Specialties"
"Engineering Structures","Chemical, Mechanical, & Civil Engineering"
"Synthetic Fibres","Chemical, Mechanical, & Civil Engineering"
"Manufacturing Engineering","Chemical, Mechanical, & Civil Engineering"
"Journal Of Chemical Sciences","Chemistry"
"Macromolecular Chemistry And Physics","Chemistry"
"Powder Diffraction","Chemistry"
"American Antiquity","Earth Sciences"
"Ancient Mesoamerica","Earth Sciences"
"Weather And Forecasting","Earth Sciences"
"Robotica","Electrical Engineering & Computer Science"
"Autonomous Agents And Multi-Agent Systems","Electrical Engineering & Computer Science"
"Digital Signal Processing: A Review Journal","Electrical Engineering & Computer Science"
"Child Psychiatry And Human Development","Brain Research"
"Brain","Brain Research"
"Journal Of Psycholinguistic Research","Brain Research"
"Journal For Cultural Research","Humanities"
"Theory, Culture And Society","Humanities"
"Journal Of Musicological Research","Humanities"
"Cellular Physiology And Biochemistry","Infectious Diseases"
"Stem Cell Reviews","Infectious Diseases"
"Journal Of Neurovirology","Infectious Diseases"
"Advances In Mathematics","Math & Physics"
"Astronomy Reports","Math & Physics"
"Journal Of Convex Analysis","Math & Physics"
"Family Practice","Health Professionals"
"Microsurgery","Health Professionals"
"Current Topics In Nutraceutical Research","Health Professionals"
"Journal Of Statistical Planning And Inference","Social Sciences"
"Human Ecology Review","Social Sciences"
"Behavior Genetics","Social Sciences"